_H:	$Name	%Phon[2:0,0]<2:10,2>	%Phon[2:0,1]	%Phon[2:1,0]	%Phon[2:1,1]	%Phon[2:2,0]	%Phon[2:2,1]	%Phon[2:3,0]	%Phon[2:3,1]	%Phon[2:4,0]	%Phon[2:4,1]	%Phon[2:5,0]	%Phon[2:5,1]	%Phon[2:6,0]	%Phon[2:6,1]	%Phon[2:7,0]	%Phon[2:7,1]	%Phon[2:8,0]	%Phon[2:8,1]	%Phon[2:9,0]	%Phon[2:9,1]
_D:	p	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
_D:	b	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
_D:	m	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
_D:	t	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
_D:	d	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
_D:	n	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
_D:	k	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
_D:	g	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
_D:	N	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
_D:	f	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
_D:	v	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
_D:	s	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
_D:	z	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
_D:	T	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
_D:	D	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
_D:	S	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
_D:	Z	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
_D:	C	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
_D:	j	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
_D:	l	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
_D:	r	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
_D:	y	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
_D:	w	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
_D:	h	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
_D:	-	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0
